main_speaker,speaker_occupation,title,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Apostro,Parenth,OtherP,Moral,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,PurityVice,MoralityGeneral,affect_1h,posemo_1h,negemo_1h,anx_1h,anger_1h,sad_1h,affect_2h,posemo_2h,negemo_2h,anx_2h,anger_2h,sad_2h,affect_1q,posemo_1q,negemo_1q,anx_1q,anger_1q,sad_1q,affect_2q,posemo_2q,negemo_2q,anx_2q,anger_2q,sad_2q,affect_3q,posemo_3q,negemo_3q,anx_3q,anger_3q,sad_3q,affect_4q,posemo_4q,negemo_4q,anx_4q,anger_4q,sad_4q,Harm,Fairness,Purity,Ingroup,Authority,posemo_change_h,negemo_change_h,affect_change_h,posemo_change_q,negemo_change_q,affect_change_q,Views_r,P_Rating,I_Rating
Ze Frank,"Humorist, web artist",Are you human?,504,40.1,98.55,60.65,36.22,25.2,17.06,91.87,61.51,17.06,10.52,0.2,0.4,9.72,0,0.2,6.55,7.94,12.5,10.91,9.33,6.55,0.6,20.24,3.97,2.58,0.99,0.79,0.99,6.55,3.57,2.98,0.2,1.39,0.99,15.08,0,0,0,0,15.08,3.37,1.19,1.39,4.56,4.96,1.59,3.97,1.59,1.59,0.79,1.59,0.79,0.6,0,0.2,4.37,0.99,1.59,0.99,0.4,0.6,7.74,10.12,2.38,18.85,0.99,6.15,11.71,0.79,0.4,0.2,0.4,0,0.2,2.58,0.79,0,1.39,0.4,0,3.17,2.18,0,0,4.96,0,0.4,1.79,2.38,0,0.79,0.4,0,0,0,0,0,0.2,0,0,0,0.2,7.97,4.78,3.19,0.4,1.2,1.2,5.14,2.37,2.77,0,1.58,0.79,11.29,6.45,4.84,0.81,1.61,1.61,4.76,3.17,1.59,0,0.79,0.79,5.47,2.34,3.12,0,3.12,0,4.76,2.38,2.38,0,0,1.59,0.4,0,0,0,0.2,-2.41,-0.42,-1.99,-4.07,-2.46,-1.61,4,1,2
Larry Smith,"Professor of Economics, University of Waterloo",Why you will fail to have a great career,2032,12.13,93.75,22.35,89.77,13.55,11.61,94.44,61.61,22.88,16.49,5.02,0.3,9.06,1.48,0.64,6.4,5.46,10.19,13.44,6.35,7.48,2.36,23.52,5.02,1.48,2.81,0.79,1.62,9.06,6.45,2.61,0.69,0.64,0.84,19.14,0.84,0.34,0.49,1.43,15.35,2.66,1.82,2.81,2.81,1.57,5.61,2.9,0.79,1.53,0.54,1.87,0.25,0.2,0.89,0.15,8.37,1.97,2.17,2.71,2.46,0.69,3.15,16.73,3.49,7.43,1.67,3,2.76,3.3,0.59,0.2,0.25,0.25,0.15,1.03,0.15,0.2,0.34,0.49,0.05,7.68,9.45,0.2,0,1.53,0.34,0.2,4.63,2.41,0,1.02,0.05,0.05,0,0,0.15,0,0.05,0,0,0.05,0.68,11.32,9.46,1.85,0.29,0.39,0.68,6.75,3.38,3.38,1.09,0.89,0.99,10.29,7.38,2.91,0.39,0.78,1.17,12.38,11.59,0.79,0.2,0,0.2,6.89,3.74,3.15,0.59,1.18,1.18,6.6,3,3.6,1.6,0.6,0.8,0.1,0,0.05,0.15,0.05,-6.08,1.53,-7.61,-4.38,0.69,-5.07,4,3,4
Stacey Kramer,Brand strategist,The best gift I ever survived,355,12.89,90.23,34.39,97.02,10.76,14.93,89.3,59.15,21.97,12.68,3.66,0,9.01,0,0,9.3,5.07,10.7,15.77,4.23,7.32,2.82,22.54,4.51,2.54,1.69,1.41,1.97,6.2,5.63,0.56,0.56,0,0.28,12.96,0.28,0.56,0,0,12.11,3.1,0.56,1.97,2.54,2.25,2.54,2.82,1.41,0.56,0.28,3.66,0.56,2.25,0,0.56,5.35,1.69,0.85,1.41,1.13,0.56,2.82,13.52,6.48,11.27,1.69,4.23,5.35,0.85,1.13,0.28,0.28,0.56,0.28,0.56,0,0,0.56,0,0,9.3,5.35,0,0,1.41,0,0.28,6.76,0.56,0.28,1.12,0.28,0,0,0,0.56,0,0,0,0,0,0.28,6.25,5.68,0.57,0.57,0,0.57,6.15,5.59,0.56,0.56,0,0,3.49,3.49,0,0,0,0,8.99,7.87,1.12,1.12,0,1.12,5.49,5.49,0,0,0,0,6.74,5.62,1.12,1.12,0,0,0.28,0,0,0.56,0,-0.09,-0.01,-0.08,2.13,1.12,1.01,4,2,4
Apollo Robbins,Gentleman thief,The art of misdirection,1634,24.88,93.92,63.91,84.2,9.39,11.14,91.8,61.08,25.46,16.1,4.53,1.41,8.69,0.98,0.49,9.36,5.32,13.28,11.14,6.12,4.1,1.77,20.07,3.37,2.33,1.77,0.43,2.02,4.04,3.61,0.31,0,0.06,0,15.3,0.06,0.18,0,1.53,12.55,3.18,1.22,2.08,3.67,1.16,3.61,5.69,2.63,0.86,1.96,2.51,2.14,0.12,0,0.18,7.59,2.51,1.1,2.39,1.77,0.31,2.82,15.73,0.98,14.87,2.33,9.3,3.55,0.55,1.04,0.12,0.67,0.06,0,0.8,0,0.06,0.31,0.49,0,10.28,7.47,1.35,0,2.63,0.12,0.12,5.02,2.08,0,0.85,0.12,0,0,0,0.06,0,0.18,0,0,0,0.48,4.44,4.07,0.25,0,0,0,3.64,3.16,0.36,0,0.12,0,3.23,2.98,0.25,0,0,0,5.42,4.93,0.25,0,0,0,4.11,3.38,0.48,0,0.24,0,3.41,3.16,0.24,0,0,0,0.12,0,0,0.06,0.18,-0.91,0.11,-1.02,0.18,-0.01,0.19,5,1,1
Omar Ahmad,"Technologist, city councilman",Political change with pen and paper,1067,27.07,95.13,27.09,44.66,16.17,15.56,89.88,60.17,20.52,12.93,2.34,0.66,7.5,0.19,2.25,7.59,7.5,11.25,11.9,7.4,6.94,1.03,22.21,2.81,0.56,2.72,2.25,1.69,3.84,2.34,1.31,0,0.66,0.09,15.84,0,0.09,0,0.19,12,1.78,1.69,1.69,2.81,1.5,4.03,1.41,0.19,0.84,0.37,0.66,0.37,0.19,0.19,0,8.9,1.41,1.87,3.37,2.44,0.28,2.34,17.99,2.25,11.06,2.81,4.97,3.56,3.19,0.28,0,0.37,0,0.09,0.56,0,0,0.19,0.28,0,5.9,7.22,1.12,0.09,0.94,0,0,3.94,1.31,0,0.84,0.19,0.46,0.09,0,0,0,0.09,0,0,0,0,3,1.5,1.31,0,0.38,0.19,4.68,3.18,1.31,0,0.94,0,3.38,1.88,1.5,0,0,0.38,2.62,1.12,1.12,0,0.75,0,6.02,3.01,2.63,0,1.88,0,3.36,3.36,0,0,0,0,0.65,0.09,0,0,0.09,1.68,0,1.68,1.48,-1.5,2.98,1,4,3
Greg Gage,Neuroscientist,How to control someone else's arm with your brain,1106,15.64,95.26,46.83,58.27,15.58,10.85,91.86,60.67,20.43,12.75,2.89,1.72,7.41,0.45,0.27,7.69,4.25,13.29,10.58,10.76,9.49,0.9,21.16,3.16,1.63,2.17,1.45,2.35,2.62,2.17,0.45,0.09,0,0.18,12.66,0,0.36,0.36,0.45,8.77,1.99,1.36,1.54,1.9,1.45,1.27,3.25,0.45,0.54,2.08,4.88,4.61,0.63,0,0,7.96,2.08,1.27,3.25,1.45,0.09,1.63,16.37,3.53,16.37,4.52,7.59,4.34,1.72,0.45,0.09,0.45,0,0,1.27,0,0.63,0.27,0.45,0,6.24,5.33,1.27,0,1.45,0.09,0.27,4.25,1.81,0,0.45,0,0,0,0,0,0,0.27,0,0,0.09,0.09,0.9,0.54,0.36,0.18,0,0.18,4.35,3.8,0.54,0,0,0.18,0.71,0.36,0.36,0.36,0,0,1.09,0.73,0.36,0,0,0.36,1.45,1.45,0,0,0,0,7.22,6.14,1.08,0,0,0.36,0,0,0.09,0,0.27,3.26,0.18,3.08,5.78,0.72,5.06,4,1,1
David Pogue,Technology columnist,10 top time-saving tech tips,994,52.52,90.61,44.18,24.18,17.75,12.47,83.6,56.34,16.3,9.26,1.41,0.4,7.24,0,0.2,7.04,8.65,14.08,7.65,7.65,8.75,2.01,17.1,2.52,1.51,1.71,2.11,2.21,2.62,1.21,1.31,0.2,0.5,0.1,11.87,0.1,0,0,0,10.97,1.81,1.21,2.01,3.02,2.52,2.82,2.52,0.7,1.41,0.3,0.7,0.1,0.1,0,0.5,5.53,0.8,1.01,2.52,1.01,0.2,1.31,14.29,1.01,16.1,3.52,7.85,4.93,1.91,0.5,0.1,0.2,0,0,0.5,0.1,0.4,0,0,0,7.14,8.65,0.3,0.1,0.2,0.3,0.91,4.53,2.01,0.3,0.2,0,0,0,0,0,0,0.2,0,0,0,0,2.02,0.81,1.21,0.4,0.2,0,3.2,1.6,1.4,0,0.8,0.2,2.86,1.22,1.63,0.82,0,0,1.21,0.4,0.81,0,0.4,0,2.83,1.21,1.21,0,0.4,0,3.54,1.97,1.57,0,1.18,0.39,0,0,0,0,0.2,0.79,0.19,0.6,0.75,-0.06,0.81,4,1,1
Srikumar Rao,Happiness teacher,Plug into your hard-wired happiness,3048,25.19,91.27,33.27,72.46,19.29,12.96,94.06,64.11,21.33,12.99,2.95,1.74,7.12,1.08,0.1,8.33,7.12,12.14,12.86,5.54,7.78,1.61,21.46,4.23,1.8,2.66,0.79,2.46,4.46,3.48,0.98,0.16,0.2,0.43,13.09,0.39,0.07,0.92,0.46,14.11,2.46,2.49,3.22,3.18,2.46,3.71,1.21,0.43,0.46,0.26,1.35,0.33,0.82,0.1,0.1,7.94,2.49,1.57,2.43,2.4,0.39,3.02,17.29,1.21,13.58,2.59,6.59,4.2,2.69,0.52,0.2,1.38,0.03,0.03,0.52,0.1,0,0.13,0.3,0,5.25,7.32,0.43,0.16,1.28,0,0.39,2.3,0.26,0,0.91,0.03,0.03,0.03,0,0.1,0,0.36,0,0,0,0.36,4.91,4.19,0.72,0,0.2,0.2,4.01,2.76,1.25,0.33,0.2,0.66,5.1,4.32,0.79,0,0.13,0.39,4.72,4.07,0.66,0,0.26,0,4.34,3.55,0.79,0.13,0.39,0.26,3.67,1.97,1.71,0.52,0,1.05,0.06,0.03,0,0.1,0.36,-1.43,0.53,-1.96,-2.35,0.92,-3.27,2,4,4
Kelly McGonigal,Health psychologist,How to make stress your friend,1860,48.2,94.58,32.2,6.23,18.24,17.63,92.58,53.66,17.9,11.08,2.31,0.65,7.04,0,1.08,6.83,5.11,13.87,8.28,5.59,7.42,0.91,15.75,5.11,3.17,2.15,1.77,2.63,10.16,4.14,5.91,4.62,0.22,0.16,14.68,0.11,0.32,0,0.05,13.28,3.06,3.82,1.61,2.04,1.08,3.01,2.1,0.65,0.43,0.43,4.52,1.88,2.47,0.11,0,6.24,2.2,0.91,1.56,0.97,1.02,3.39,11.56,1.08,11.45,2.2,5.05,4.73,2.31,0.27,0.16,0.22,0.27,0.7,0.81,0.05,0,0.54,0.22,0,6.56,5.59,0.27,0,0.59,0.05,0.54,2.1,1.29,0.05,1.92,0.48,0.43,0,0,0.37,0.05,0,0,0,0.16,0.43,9.3,2.67,6.52,4.6,0.43,0.21,11.03,5.62,5.3,4.65,0,0.11,9.81,1.07,8.74,5.97,0.43,0.21,8.82,4.3,4.3,3.23,0.43,0.22,9.09,4.11,4.76,4.55,0,0,12.93,7.11,5.82,4.74,0,0.22,0.91,0,0.16,0.42,0,2.95,-1.22,4.17,6.04,-2.92,8.96,5,2,2
David Whyte,"Poet, author","A lyrical bridge between past, present and future",2763,61.15,91.82,73.23,47.16,30.36,14.98,89.87,59.03,18.06,11.94,2.68,1.19,6.8,0.72,0.54,6.12,8.61,14.4,8.58,4.42,7.2,1.3,16.94,2.93,1.52,2.53,1.45,2.06,2.61,1.88,0.72,0.18,0.04,0.4,12.7,0.29,0.11,0.51,0.33,9.99,1.88,0.87,1.7,2.06,1.56,2.79,2.71,1.38,0.87,0.18,1.7,0.65,0.62,0,0.18,6.08,2.32,1.34,1.41,1.16,0.36,5.5,9.08,2.17,19.8,3.11,10.6,6.08,1.09,0.36,0.18,0.07,0.43,0.07,0.22,0,0.04,0.07,0.07,0.04,3.87,7.38,0.29,0.43,0.62,0.04,0.33,1.74,1.59,0,0.58,0.11,0,0.04,0,0.04,0.11,0.18,0,0.04,0,0.07,1.82,1.53,0.29,0.07,0,0.15,3.39,2.23,1.15,0.29,0.07,0.65,2.04,1.75,0.29,0.15,0,0.15,1.6,1.31,0.29,0,0,0.15,4.02,2.3,1.72,0.29,0.14,1.01,2.74,2.16,0.58,0.29,0,0.29,0.11,0.04,0.04,0.15,0.18,0.7,0.86,-0.16,0.41,0.29,0.12,1,1,2
